"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"PM20025";3821;"PM20025";"M30";442925,120742158;4481473,97720451
"PM30753";3561;"PM30753";"M30";444465,82208975;4474299,86754799
"PM41892";6951;"PM41892";"M30";432755,910394159;4470019,77366619
"PM42351";6798;"PM42351";"M30";436845,545605739;4478509,77512489
"03FL08PM01";1047;"03FL08PM01";"M30";438846,338355986;4474574,49256844
"03FL08PM02";1046;"03FL08PM02";"M30";438843,221284568;4474528,21595208
"PM13107";10270;"PM13107";"M30";441665,850686958;4481619,87323684
"PM31801";6780;"PM31801";"M30";436923,430592792;4473351,20873435
"PM31851";6938;"PM31851";"M30";435084,321501257;4472331,07898929
"PM31852";6939;"PM31852";"M30";435078,030825628;4472347,32026642
"PM31881";6942;"PM31881";"M30";433539,287597808;4470802,65430214
"PM31882";6941;"PM31882";"M30";433533,127314244;4470807,60208709
"PM33152";6786;"PM33152";"M30";441918,141372122;4481355,57128488
"PM41302";3703;"PM41302";"M30";441029,238995126;4469388,1269769
"14NC71PM01";7118;"14NC71PM01";"M30";439726,864176046;4472104,75887876
"PM13011";6704;"PM13011";"M30";440839,719932807;4481762,00077702
"PM41851";6937;"PM41851";"M30";435153,814187285;4472379,65717437
"PM10862";3492;"PM10862";"M30";443730,425119869;4473607,09338345
"PM41852";6795;"PM41852";"M30";435158,457285573;4472365,30859321
"PM41853";7012;"PM41853";"M30";435208,57451432;4472346,97042238
"PM10486";3817;"PM10486";"M30";443918,615017242;4477178,20268951
"PM13041";6706;"PM13041";"M30";441122,291676339;4481862,5589994
"PM13044";6707;"PM13044";"M30";441122,450091536;4481854,57111723
"PM10442";6657;"PM10442";"M30";443898,533472309;4477433,76644733
"16XC14PM01";6846;"16XC14PM01";"M30";438897,365822066;4472361,29334804
"13XC97PM01";6870;"13XC97PM01";"M30";440425,967306403;4471751,02248177
"PM20667";10194;"PM20667";"M30";444022,700954381;4475400,03695484
"03FL20PM01";6836;"03FL20PM01";"M30";438803,701211802;4474409,72805766
"18XC46PM01";1013;"18XC46PM01";"M30";438704,11089943;4474622,13811252
"PM10612";3800;"PM10612";"M30";443938,715753785;4475817,19034373
"PM423091";10209;"PM423091";"M30";434027,751301711;4479419,86934738
"15RR60PM03";6860;"15RR60PM03";"M30";439567,062572386;4472426,30198713
"PM41452";6793;"PM41452";"M30";438861,864586354;4469065,19505358
"PM41802";6936;"PM41802";"M30";436928,773379822;4473320,53832431
"90EL69PM01";6890;"90EL69PM01";"M30";441712,162157754;4470398,32451799
"PM10768";6668;"PM10768";"M30";444001,84585315;4474331,11846829
"90ET93PM01";6884;"90ET93PM01";"M30";441419,188865113;4470891,18114462
"PM20041";3823;"PM20041";"M30";442856,829316589;4480774,63966497
"PM20042";6714;"PM20042";"M30";442865,685522499;4480776,25852168
"PM41881";6943;"PM41881";"M30";433504,262879673;4470758,4257818
"03FT08PM01";1044;"03FT08PM01";"M30";438853,916962984;4474526,98398949
"18XC82PM01";1018;"18XC82PM01";"M30";438516,67769767;4474828,51138518
"03FL56PM01";1010;"03FL56PM01";"M30";438487,741512358;4474217,82060848
"PM42051";6796;"PM42051";"M30";437286,779149251;4476307,48724898
"PM42052";6797;"PM42052";"M30";437270,296581618;4476289,86089069
"PM11168";6684;"PM11168";"M30";442205,249934118;4470996,43614254
"PM43001";6801;"PM43001";"M30";441127,280052023;4481916,53155887
"PM10444";6659;"PM10444";"M30";443905,063049541;4477433,9416516
"PM23222";6935;"PM23222";"M30";442992,871037384;4481796,66628947
"PM30461";3837;"PM30461";"M30";444315,841596641;4477456,24647472
"PM10446";6660;"PM10446";"M30";443897,668689037;4477375,9012923
"PM10472";10265;"PM10472";"M30";443962,650491342;4477279,27386215
"PM43011";6802;"PM43011";"M30";440883,971763339;4482162,92130212
"PM43222";7129;"PM43222";"M30";443002,925186071;4481716,03668391
"PM10341";6650;"PM10341";"M30";443747,677432301;4478418,16670066
"PM43041";10210;"PM43041";"M30";441959,264428408;4485212,99385152
"PM41454";10211;"PM41454";"M30";437445,446707242;4469220,04399517
"PM43223";7015;"PM43223";"M30";443019,864262447;4481807,05761374
"17NC80PM01";6839;"17NC80PM01";"M30";438715,651463844;4474090,58659872
"PM41882";6944;"PM41882";"M30";433512,914668425;4470752,76168434
"PM41891";6952;"PM41891";"M30";432748,289442669;4470026,63793563
"PM10578";10266;"PM10578";"M30";443985,492533369;4476225,02791215
"15RA15PM01";6856;"15RA15PM01";"M30";439691,952745526;4472177,04587423
"PM10572";6663;"PM10572";"M30";443994,039883935;4476223,4936473
"15RC05PM01";1032;"15RC05PM01";"M30";439705,900330434;4472174,97944373
"15RR22PM01";1037;"15RR22PM01";"M30";439492,2367632;4472123,60674244
"PM13103";6709;"PM13103";"M30";441671,162483794;4481630,02259729
"PM10714";10174;"PM10714";"M30";444057,410132998;4474897,91536154
"PM20394";10171;"PM20394";"M30";443808,707127283;4478050,97899095
"PM20864";6748;"PM20864";"M30";443751,764696804;4473516,84340357
"PM20942";10179;"PM20942";"M30";443483,412208349;4472791,42567764
"PM10832";3490;"PM10832";"M30";443898,767230467;4473943,48668457
"PM13104";6710;"PM13104";"M30";441662,120061388;4481615,14043131
"PM10561";3820;"PM10561";"M30";444024,542719476;4476323,2145841
"PM12211";6692;"PM12211";"M30";437273,103374651;4477399,20633913
"PM12241";6693;"PM12241";"M30";437094,875758847;4477998,26621385
"PM20262";6721;"PM20262";"M30";443571,787514204;4479260,61427789
"PM22341";3836;"PM22341";"M30";436905,514477689;4478674,56120844
"PM10661";6664;"PM10661";"M30";443986,466542601;4475395,04201625
"PM40005";3797;"PM40005";"M30";443081,764311719;4482550,06440271
"PM10948";7124;"PM10948";"M30";443437,260436929;4472898,22150163
"PM12781";3801;"PM12781";"M30";438767,679430536;4480747,57327421
"PM20831";6743;"PM20831";"M30";444072,778256644;4474221,45787267
"PM20832";6744;"PM20832";"M30";444096,811828585;4474221,42032568
"PM20834";6745;"PM20834";"M30";444089,356276166;4474224,52486398
"PM20851";6746;"PM20851";"M30";443777,393224288;4473607,78772025
"PM20852";6747;"PM20852";"M30";443873,001104391;4473759,65047648
"PM20971";6753;"PM20971";"M30";443394,494145323;4472576,07698843
"PM20972";6754;"PM20972";"M30";443406,66646799;4472561,17082497
"PM20976";6755;"PM20976";"M30";443399,475589673;4472562,08236566
"PM21081";6756;"PM21081";"M30";442723,212091788;4471643,01830575
"PM20411";6725;"PM20411";"M30";443818,816039627;4477944,33528181
"PM20776";6742;"PM20776";"M30";444181,388893735;4474268,32435265
"PM21181";6758;"PM21181";"M30";442179,494020823;4470916,26112392
"PM23111";6775;"PM23111";"M30";441674,375553806;4481654,04716878
"PM40461";6789;"PM40461";"M30";444303,072346746;4477468,43115807
"PM42353";6800;"PM42353";"M30";436858,260614274;4478411,59091061
"PM40462";10175;"PM40462";"M30";443982,195494718;4477286,42030552
"PM40462";10176;"PM40462";"M30";443803,479181501;4477247,19851062
"PM32352";3496;"PM32352";"M30";436843,323639169;4478581,59782256
"PM33031";6783;"PM33031";"M30";440649,951142305;4483212,58146777
"PM33032";6784;"PM33032";"M30";440657,555822361;4483209,81251873
"PM40463";6661;"PM40463";"M30";443726,024797698;4477216,63305775
"PM13012";10269;"PM13012";"M30";440838,487103788;4481754,65876969
"PM40011";10198;"PM40011";"M30";444122,391307318;4483765,01957649
"PM10141";6644;"PM10141";"M30";443054,603648721;4480238,49034315
"PM11303";6688;"PM11303";"M30";441272,967601632;4470633,61898407
"PM11981";6689;"PM11981";"M30";437682,190025348;4475455,48727145
"PM12061";6690;"PM12061";"M30";437445,575980633;4475976,80039159
"PM12121";6691;"PM12121";"M30";437426,505080303;4476616,89695453
"PM12122";7125;"PM12122";"M30";437470,65163745;4476625,11678891
"PM12331";6694;"PM12331";"M30";436917,366329491;4478681,45069398
"PM12502";10180;"PM12502";"M30";436387,381287899;4480355,30058275
"PM12571";6698;"PM12571";"M30";436784,305452721;4480679,88852566
"PM12572";6815;"PM12572";"M30";436819,999695498;4480671,24285762
"PM11201";6685;"PM11201";"M30";441891,725397504;4470593,4173504
"PM11208";6686;"PM11208";"M30";441891,5325464;4470580,61393106
"PM20322";6723;"PM20322";"M30";443747,381719268;4478725,35464556
"PM20327";6724;"PM20327";"M30";443720,223554754;4478714,96832365
"PM20412";6726;"PM20412";"M30";443838,326617369;4477952,08566559
"PM20441";6727;"PM20441";"M30";443950,989280038;4477432,59072074
"PM21185";6759;"PM21185";"M30";442187,036671343;4470912,77077493
"PM21231";6763;"PM21231";"M30";441602,754352009;4470349,75061116
"PM20231";6717;"PM20231";"M30";443348,737243997;4479752,99296681
"PM10021";6641;"PM10021";"M30";442866,31923651;4481323,94275926
"PM20322";10297;"PM20322";"M30";443586,546360244;4479048,61036633
"PM21301";6765;"PM21301";"M30";441225,147451618;4470595,23057189
"PM20232";6718;"PM20232";"M30";443372,832470131;4479757,31098094
