zone;int;intmax;%;x;y;name
17;45;1500;3,00;440011,586204489;4466493,24495367;AV. REAL PINTO N-S(DR. PEREZ DOMINGUEZ-DR. MARTIN AREVALO)
17;0;1500;0,00;439050,419439405;4466068,05216908;(TACTICO)PSO. FERROVIARIOS S-N(SAN AURELIANO-PSO. ALBERTO PALACIOS)
17;135;3000;4,50;439075,913611295;4466180,12885341;PSO. FERROVIARIOS N-S(JOSE PINO-DOMINGO PARRAGA)
17;45;1500;3,00;439106,529653491;4466103,48914935;ALBERTO PALACIOS E-O(TORDEGRILLOS-PSO. FERROVIARIOS)
17;315;1500;21,00;439034,872060939;4465998,41310394;PSO. FERROVIARIOS S-N(DOMINGO PARRAGA-JOSE PINO)
17;270;3000;9,00;439148,371851086;4466363,30638927;PSO. FERROVIARIOS S-N(JOSE PINO-ENCARNACION PINO)
17;135;3000;4,50;439207,849251157;4466543,35350873;PSO. FERROVIARIOS N-S(SULFATO-ENCARNACION PINO)
17;495;3000;16,50;440129,358539849;4466938,08525413;EDUARDO BARREIROS N-S(LAGUNA RODRIGO-ALCOCER)
17;45;3000;1,50;440071,55923303;4466823,88730099;VILLALONSO O-E(AV. REAL PINTO-SAN JENARO)
17;180;3000;6,00;440089,216861393;4466853,08553707;VILLALONSO E-O(EDUARDO BARREIROS-CTRA. CCHEL. VILLAVERDE)
17;180;3300;5,45;439937,761823509;4466788,27669985;VILLALONSO O-E(ALBINO HDEZ. LAZARO-AV. REAL PINTO)
17;135;1500;9,00;440346,857938594;4466574,0471517;PSO. TALLERES E-O(ARROYO BUENO-SAN JENARO)
17;23;1500;1,53;440299,0431185;4466528,89275246;SAN JENARO S-N GIRO IZDA. (OXIGENO-PSO. TALLERES)
17;68;3000;2,27;440296,313393968;4466527,23300367;SAN JENARO S-N FRENTE (OXIGENO-PSO. TALLERES)
17;0;3000;0,00;440235,162584204;4466556,62911687;PSO. TALLERES O-E (RUBI-SAN JENARO)
17;45;1500;3,00;439034,036898112;4466087,37870998;(MICRO)PSO. FERROVIARIOS GIRO ALBERTO PALACIOS
24;51;1500;3,40;434561,588155015;4478135,60664651;(TACTICO)BARDEGUERAL S-N
24;0;1500;0,00;434543,00192068;4478164,16866945;(TACTICO)BARDEGUERAL N-S (GIRO)
24;135;1500;9,00;433854,667990136;4479155,58109448;(TACTICO) Pº ERMITA S-N
24;45;1500;3,00;433879,029370444;4479163,54269275;(TACTICO)ARAQUIL E-O(OSA MAYOR-Pº ERMITA)
24;0;1500;0,00;433845,593859268;4479184,03899041;ANA TERESA ENTRADA CRUCE JUNTO LINEA PARADA  O-N
24;60;1500;4,00;432982,182700229;4478863,20238082;ARANDIGA ENTRADA CRUCE JUNTO LINEA DE PARADA
24;0;1500;0,00;432749,895389022;4478580,03419923;BATALLA GARELLANO ENTRADA CRUCE JUNTO LINEA PARADA
24;169;1500;11,27;433855,931989747;4478478,75044277;CTRA. HUMERA N-S(GOLONDRINA-V. ROSALES)
24;42;1500;2,80;433834,402685256;4478394,98001479;VIRGEN ROSALES O-E(ASTROLABIO-C.HUMERA)
24;0;1500;0,00;433966,940792051;4478400,22041884;V. ROSALES E-O (DIPLOMATICOS-C.HUMERA)
24;270;3300;8,18;433346,320286623;4478689,27129625;ACAMAR ENTRE PICO OCEJON Y GOLONDRINA
24;90;1500;6,00;433564,106749623;4478650,32501701;GOLONDRINA ENTRE BAJA DE LA IGLESIA Y GALAXIA
24;45;3000;1,50;433405,549759786;4478533,26281322;GOLONDRINA ENTRE VIRGEN DE LOS ROSALES Y ACAMAR
24;270;1500;18,00;433456,653563992;4479018,63665492;OSA MAYOR E-O (PZ. ROLLO-PLEYADES)
24;45;1500;3,00;433442,006121455;4479003,61089355;CAROLI ENTRADA CRUCE 2814
24;180;1500;12,00;433420,158288547;4479004,44818668;GALAXIA ENTRADA CRUCE 28140
24;135;1500;9,00;433516,716414176;4479074,36310968;OSA MAYOR 98 - P.P
24;135;1500;9,00;433905,474119753;4479041,64861;OSA MAYOR O-E(Pº ERMITA-ARAQUIL)
24;90;1500;6,00;434026,795217646;4479098,46179623;OSA MAYOR E-O(ESPINOS-ARAQUIL)
24;495;1500;33,00;433947,662372843;4478973,87082905;CRA.HUMERA S-N (RIAZA-OSA MAYOR)
24;528;1500;35,20;433944,689975742;4478965,18521857;CRA.HUMERA N-S (OSA MAYOR-RIAZA)
24;135;1500;9,00;434036,398285994;4479097,95243807;OSA MAYOR O-E(CTRA. HUMERA-ESPINOS)
